0  2202 + 2402 = 2 2302  
1  1646 + 1886 = 2 1766  
2  1646 + 1886 = 2 1766  
3  0 + 0 = 2 0  
4  0 + 0 = 2 0  
5  0 + 0 = 2 0  

0  1674 + 1888 = 2 1781  
1  2230 + 2406 = 2 2318  
2  1674 + 1888 = 2 1781  
3  0 + 0 = 2 0  
4  0 + 0 = 2 0  
5  0 + 0 = 2 0  

0  1666 + 1910 = 2 1788  
1  1666 + 1910 = 2 1788  
2  2222 + 2426 = 2 2324  
3  0 + 0 = 2 0  
4  0 + 0 = 2 0  
5  0 + 0 = 2 0  

0  -172 + 176 = 2 2  
1  -166 + 170 = 2 2  
2  -166 + 172 = 2 3  
3  -350 + -350 = 2 -350  
4  0 + 0 = 2 0  
5  0 + 0 = 2 0  

0  -190 + 202 = 2 6  
1  -194 + 206 = 2 6  
2  -190 + 202 = 2 6  
3  0 + 0 = 2 0  
4  -350 + -350 = 2 -350  
5  0 + 0 = 2 0  

0  -214 + 132 = 2 -41  
1  -216 + 132 = 2 -42  
2  -220 + 138 = 2 -41  
3  0 + 0 = 2 0  
4  0 + 0 = 2 0  
5  -350 + -350 = 2 -350  

2302		1773.5		1777		1		3		-20.5		
1773.5		2318		1784.5		1		3		-21		
1777		1784.5		2324		1.5		3		-20.5		
1		1		1.5		-350		0		0		
3		3		3		0		-350		0		
-20.5		-21		-20.5		0		0		-350		
C11  231.466666666667
C12  177.833333333333
C44  -35
bulk  195.711111111111
