0  3032 + 2890 = 2 2961  
1  1588 + 1518 = 2 1553  
2  1588 + 1516 = 2 1552  
3  0 + 0 = 2 0  
4  0 + 0 = 2 0  
5  0 + 0 = 2 0  

0  1592 + 1516 = 2 1554  
1  3032 + 2890 = 2 2961  
2  1594 + 1516 = 2 1555  
3  0 + 0 = 2 0  
4  0 + 0 = 2 0  
5  0 + 0 = 2 0  

0  1600 + 1508 = 2 1554  
1  1600 + 1508 = 2 1554  
2  3040 + 2882 = 2 2961  
3  0 + 0 = 2 0  
4  0 + 0 = 2 0  
5  0 + 0 = 2 0  

0  -24 + 26 = 2 1  
1  -14 + 16 = 2 1  
2  -28 + 32 = 2 2  
3  -598 + -598 = 2 -598  
4  0 + 0 = 2 0  
5  0 + 0 = 2 0  

0  -8.00000000000001 + 9.99999999999996 = 2 0.999999999999979  
1  -20 + 20 = 2 0  
2  -22 + 22 = 2 0  
3  0 + 0 = 2 0  
4  -596 + -598 = 2 -597  
5  0 + 0 = 2 0  

0  -9.99999999999996 + 12 = 2 1  
1  -22 + 26 = 2 2  
2  -18 + 22 = 2 2  
3  0 + 0 = 2 0  
4  0 + 0 = 2 0  
5  -598 + -598 = 2 -598  

2961		1553.5		1553		0.500000000000001		0.499999999999989		0.5		
1553.5		2961		1554.5		0.5		0		1		
1553		1554.5		2961		1		0		1		
0.500000000000001		0.5		1		-598		0		0		
0.499999999999989		0		0		0		-597		0		
0.5		1		1		0		0		-598		
C11  296.1
C12  155.366666666667
C44  -59.7666666666667
bulk  202.277777777778
