0  1450 + 2492 = 2 1971  
1  1676 + 2686 = 2 2181  
2  1676 + 2686 = 2 2181  
3  0 + 0 = 2 0  
4  0 + 0 = 2 0  
5  0 + 0 = 2 0  

0  1670 + 2704 = 2 2187  
1  1442 + 2514 = 2 1978  
2  1670 + 2704 = 2 2187  
3  0 + 0 = 2 0  
4  0 + 0 = 2 0  
5  0 + 0 = 2 0  

0  1652 + 2690 = 2 2171  
1  1652 + 2690 = 2 2171  
2  1424 + 2500 = 2 1962  
3  0 + 0 = 2 0  
4  0 + 0 = 2 0  
5  0 + 0 = 2 0  

0  -598 + 586 = 2 -6.00000000000006  
1  -594 + 584 = 2 -4.99999999999994  
2  -584 + 572 = 2 -6  
3  -204 + -204 = 2 -204  
4  0 + 0 = 2 0  
5  0 + 0 = 2 0  

0  -582 + 608 = 2 13  
1  -586 + 612 = 2 13.0000000000001  
2  -572 + 598 = 2 13  
3  0 + 0 = 2 0  
4  -204 + -204 = 2 -204  
5  0 + 0 = 2 0  

0  -606 + 580 = 2 -13  
1  -596 + 568 = 2 -14  
2  -610 + 582 = 2 -14  
3  0 + 0 = 2 0  
4  0 + 0 = 2 0  
5  -204 + -204 = 2 -204  

1971		2184		2176		-3.00000000000003		6.5		-6.5		
2184		1978		2179		-2.49999999999997		6.50000000000003		-7		
2176		2179		1962		-3		6.5		-7		
-3.00000000000003		-2.49999999999997		-3		-204		0		0		
6.5		6.50000000000003		6.5		0		-204		0		
-6.5		-7		-7		0		0		-204		
C11  197.033333333333
C12  217.966666666667
C44  -20.4
bulk  210.988888888889
