LAMMPS data file via write_data, version 10 Mar 2021, timestep = 0
54 atoms
6 atom types
54 atoms
6 atom types
0.0 10.039215872 xlo xhi
0.0 9.98075155 ylo yhi
0.0 9.737432433 zlo zhi
0 0 0 xy xz yz

Masses

1 26.98154
2 95.95000
3 92.90638
4 180.94788
5 47.86700
6 91.22400
Atoms

1 5	-0.0797363443       -0.0495921629       -0.0735771435
2 4	1.6333267342        1.6267074706        1.4929419500
3 2	3.3632660947        0.0261049827        0.1311553916
4 1	-0.0152209553        3.3706995725       -0.1312759192
5 5	3.1297067372        3.4309328677        0.1239650323
6 6	0.0103508765       -0.0668890728        3.2608818857
7 1	3.4215986869        0.2544410152        3.2740973947
8 3	0.1525948093        3.2845014577        3.2700306781
9 6	3.2733181907        3.3287966547        3.2003720940
10 1	1.6690989665        1.6094318610        5.0425811362
11 3	-0.1108888822       -0.1121113428        6.5054183256
12 4	3.4930707400        0.0299550941        6.4350198816
13 4	-0.0442033870        3.2550523494        6.6280727036
14 1	3.4199585561        3.2558661474        6.4847917711
15 6	1.7437053469        1.5459109882        8.1567455133
16 2	1.5216509528        4.9715485980        1.6343878731
17 6	-0.0145161942        6.7261045147        0.0824909975
18 3	1.8954864597        8.3672890383        1.7181610032
19 4	3.1656054071        6.5323704409        0.1116729084
20 4	0.0603892109        6.7302433653        3.1919551017
21 1	3.3067310838        6.3674384086        3.1139825740
22 6	1.6997185423        5.0304288265        5.0073227710
23 5	1.8527366744        8.2971695850        4.8910680444
24 1	0.0204293119        6.8501051666        6.5126784552
25 2	3.4010665202        6.6456165237        6.5194282598
26 3	1.6954701252        5.0506667795        8.0485641994
27 1	1.8343636240        8.4115814319        8.1039061004
28 3	5.0774037481        1.7841382400        1.5456911848
29 1	6.6722676048        0.1230686660       -0.1045300219
30 6	8.3576511437        1.7249189453        1.6632660442
31 4	6.8385538024        3.2492300065       -0.1487259832
32 4	6.6798098386        0.0108483302        3.3010603726
33 2	6.6173533275        3.3091724611        3.2004759227
34 5	5.2032464912        1.8218519765        4.8374037333
35 1	8.2835510768        1.7806310278        4.8477458346
36 6	6.6376899896       -0.0605190080        6.4831414130
37 3	6.7008144269        3.2857600074        6.6222056938
38 1	4.8741482712        1.6865366489        8.2372961889
39 2	8.4131835360        1.6456778056        7.9956945374
40 1	5.2100473155        4.9588708353        1.5393120262
41 1	8.3427226375        4.8786845291        1.6667084557
42 6	5.0323984471        8.2708556259        1.5976084575
43 2	6.7407256890        6.6224184084       -0.0812155142
44 1	8.1780082254        8.4280059507        1.5422548400
45 3	6.8335681206        6.6837735918        3.2628794455
46 4	5.0831246202        4.9047727624        4.8492908536
47 6	8.3589639400        4.9129574832        4.8621284974
48 6	4.8581023678        8.2045285565        4.7420558978
49 2	8.3563655589        8.2864935075        4.7741282551
50 1	6.6144995128        6.7017023369        6.4632786956
51 6	4.9815404649        4.9818781439        8.2102017830
52 5	8.3145078480        5.0930565995        8.0983078798
53 3	4.8720805637        8.2561711317        8.1862080787
54 4	8.2509506723        8.2510547541        8.1615181809
